2006,Florida,Gators,32,,,,,,,,,,,,,
#,Line Plunge,Counter,End Reverse,Draw,Option,Screen,Sprint Out,Boot-leg,Drop Back,QT,QR,B,#,,,
10,17,11,B,9,11,17,39,28,TD,-18,22,51,10,,,
11,14,6,-5,B,3,29,B,12,32,11,11,28,11,,,
12,10,18,15,4,2,27,14,32,22,5,B,39,12,,,
13,DEF5,DEF5,DEF5,DEF5,DEF5,DEF5,DEF5,DEF5,DEF5,3,4,33,13,,,
14,8,-1,F+ 3,5,DEF5X,11,11,PI 15,17,-7,-2,48,14,,,
15,DEF5X,4,4,5,7,INT 1,F+ 8,13,24,-4,20,24,15,,,
16,6,9,B,13,2,13,7,11,23,5,,39,16,,,
17,2,14,4,B,4,20,14,17,30,5,-6,35,17,,,
18,10,-2,10,14,12,41,27,27,33,14,23,31,18,,,
19,18,17,B,B,-7,B,49,38,58,24,45,63,19,,,
20,4,9,B,5,5,9,6,7,27,3,,TD,20,,,
21,3,5,1,3,F+ 1,4,8,F+ 12,PI 16,4,8,19,21,,,
22,OFF5,OFF5,,OFF5,OFF5,OFF5,INC,OFF5,OFF10,F-2,13,18,22,,,
23,B,8,4,1,B,6,17,9,INT 25,,5,16,23,,,
24,7,B,7,,SOP,11,10,INC,INC,-5,F+3,19,24,,,
25,5,4,3,8,3,,INC,QR,QT,-7,6,20,25,,,
26,OFF10,OFF10,OFF5,OFF10,2,13,OFF5,OFF10,OFF5,1,-2,23,26,,,
27,4,DEF5X,5,F+ 1,2,DEF15,INT 13,B,15,-10,12,26,27,,,
28,1,3,,6,-2,B,6,11,18,9,19,39,28,,,
29,3,-3,B,17,-4,B,28,30,36,29,21,52,29,,,
30,F+ 2,F+ 4,DEF15,DEF15,2,-1,PI 13,QR,F+ 25,-8,7,21,30,,,
31,1,7,6,4,5,3,7,8,INC,2,1,18,31,,,
32,,5,4,3,BLP,7,QR,QR,INC,-6,3,23,32,,,
33,6,5,5,3,SOP,5,INC,INC,INC,-3,-2,27,33,,,
34,3,1,7,-1,SOP,INC,QR,QR,18,-7,4,24,34,,,
35,3,4,-1,8,BLP,INC,QR,10,INC,-6,-3,29,35,,,
36,5,1,,2,BLP,QT,INC,INC,QT,-4,,24,36,,,
37,6,3,5,B,-2,10,QR,INC,INC,-8,3,22,37,,,
38,4,5,6,4,1,F+ 8,10,INT 8,21,-9,8,39,38,,,
39,15,-1,B,-2,10,23,22,18,39,10,-4,57,39,,,
#,Line Plunge,Counter,End Rev,Draw,Option,Screen,Sprint Out,Boot Leg,Drop Back,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#
1,-1,-2,,-1,,,-1,,-2,69,33, 52*,42,37,5,10
2,-2,,-1,,-2,-3,,-1,-3,52,34, 19*,22,TD,28,11
3,,,,,,-1,INC,-5,-7,OFF5,F+ 15, 42*,25,21,30,12
4,,,(-1),,-5,,,-7,INC,55,16,37,TD,11,15,13
5,,0,,-2,-4,-3,,INT 13,INC,70,OFF15,41,OFF15,OFF15,OFF5,14
1,-1,-5,-2,-2,,,,-4,-3,69,18, 39*,6,4,16,15
2,0,-2,,,-6,,-1,-1,-1,71,16,39,14,F+ 1,34,16
3,-2,0,,(-1),-2,,-3,,,65,17,77,F+ 2,12,20,17
4,-4,-1,-3,-7,-2,,-4,-3,,49,43, 37*,43,28,35,18
5,,,,-2,-3,11,,INC,INT 31,70,43,54,75,66,27,19
1,-2,,0,-2,0,,,-5,-4,65,17, 50*,24,14,30,20
2,-1,-1,-3,,-2,,-2,-4,-1,68,16,42,3,17,18,21
3,,,-2,,-4,INC,-5,,,60,20,38,,DEF15,10,22
4,,(-2),0,0,-2,-1,-5,,INC,42,23,38,,,15,23
5,,,-7,,,,INT 8,INC,-13,68,10, 44*,3,,12,24
1,,-3,,2,,-1,-1,,,66,26, 39*,12,18,12,25
2,,,,,,-2,-1,-2,,62,8,36,8,,13,26
3,,-5,,,,,INC,INC,,56,12, 37*,13,11,DEF5X,27
4,,,,,-2,,INT 15,INT 13,-8,57,8, 31*,35,5,14,28
5,-1,,0,,-1,,-6,INC,INC,66,24, 52*,47,38,34,29
1,1,,2,,,,-2,-6,-12,65,15,34,10,12,12,30
2,2,,,,2,-2,,,INC,59,15, 44*,9,1,16,31
3,,,,5,,-3,-8,-4,-13,66,15, 37*,8,20,12,32
4,,3,3,,3,-5,INT 10,INT 13,INT 19,56,10,37,4,,15,33
5,,(B),5,-8,2,-2,INC,,INT 26,59,14, 40*,9,,NG,34
1,2,-2,,3,-6,,INC,,-8,65,23, 47*,14,7,11,35
2,-1,-2,-1,-5,-2,-11,-3,-1,-11,65,9,OFF5,4,,16,36
3,-2,,-2,-3,2,,-4,INC,QT,65,24,35,9,,12,37
4,9,-2,-3,-1,-4,30,QR,INT 15,INC,62,DEF5X, 37*,DEF15,12,23,38
5,-1,-3,-2,-6,-5,INT-1,QT,INC,QT,68,12, 35*,29,17,27,39
